Frequency (MHz),VSWR (Bicon - free space),,Frequency(MHz),VSWR(1MHz resolution),,Frequency(MHz),VSWR(0.1MHz resolution)
30,419.722,,70,1.61397,,73.5,1.3574
35,192.426,,71,1.50067,,73.6,1.3561
40,90.7667,,72,1.41835,,73.7,1.35513
45,43.4908,,73,1.3691,,73.8,1.35449
50,20.9979,,74,1.35421,,73.9,1.35419
55,10.2115,,75,1.37111,,74,1.35421
60,5.07656,,76,1.41322,,74.1,1.35455
65,2.68131,,77,1.47317,,74.2,1.35522
70,1.61397,,78,1.54513,,74.3,1.35619
75,1.37111,,79,1.62519,,74.4,1.357
80,1.71079,,80,1.71079,,,
85,2.17798,,81,1.80024,,,
90,2.66131,,82,1.89241,,,
95,3.1354,,83,1.98646,,,
100,3.59498,,84,2.0818,,,
105,4.04312,,85,2.17798,,,
110,4.48588,,86,2.27463,,,
115,4.92552,,87,2.37149,,,
120,5.36055,,88,2.46832,,,
125,5.78403,,89,2.564,,,
130,6.1844,,,,,,
135,6.54251,,,,,,
140,6.84259,,,,,,
145,7.07072,,,,,,
150,7.21732,,,,,,
155,7.28189,,,,,,
160,7.27025,,,,,,
165,7.1833,,,,,,
170,7.00526,,,,,,
175,6.4713,,,,,,
180,6.4909,,,,,,
185,6.30819,,,,,,
190,6.07163,,,,,,
195,5.83222,,,,,,
200,5.60644,,,,,,
205,5.40516,,,,,,
210,5.24238,,,,,,
215,5.18207,,,,,,
220,4.66789,,,,,,
225,4.68931,,,,,,
230,4.62927,,,,,,
235,4.56944,,,,,,
240,4.51665,,,,,,
245,4.4701,,,,,,
250,4.4158,,,,,,
255,4.20787,,,,,,
260,4.06523,,,,,,
265,3.96357,,,,,,
270,3.83824,,,,,,
275,3.70018,,,,,,
280,3.56664,,,,,,
285,3.45839,,,,,,
290,3.3981,,,,,,
295,3.40777,,,,,,
300,3.50592,,,,,,
305,3.70538,,,,,,
310,4.01117,,,,,,
315,4.41856,,,,,,
320,4.90917,,,,,,
325,5.44059,,,,,,
330,5.92341,,,,,,
335,6.14572,,,,,,
340,5.92077,,,,,,
345,6.57083,,,,,,
350,7.06987,,,,,,
355,7.06114,,,,,,
360,6.84891,,,,,,
365,6.57194,,,,,,
370,6.28554,,,,,,
375,6.0148,,,,,,
380,5.77116,,,,,,
385,5.5653,,,,,,
390,5.36591,,,,,,
395,5.19039,,,,,,
400,5.02285,,,,,,
405,4.86449,,,,,,
410,4.73039,,,,,,
415,4.64301,,,,,,
420,4.61632,,,,,,
425,4.651,,,,,,
